count hate_speech offensive_language neither class tweet
3 0 3 0 1 " pimps up pimps up hoes down Future voice"
3 0 3 0 1 " post a picture of that pussy get likes "
3 0 3 0 1 " pussy is a powerful drug HappyHumpDay httptcoR8jsymiB5b"
3 0 3 0 1 " quick piece of pussy call it a drive by "
3 0 3 0 1 " running round here like some brand new pussy thats bout to get fucked "
3 0 3 0 1 " these bitches even worst theyll send them guys for you "
3 1 2 0 1 " these hoes like niggas that spend money not talk bout it "
3 1 2 0 1 " we dont trust these niggas all these bitches "
3 0 3 0 1 " yall niggas b cuffing hoes cause yall aint never have bitches "
3 0 3 0 1 " you dodge a bullet 8220 All da bitches I cut off pregnant or bound to be thank God "
3 0 3 0 1 " young Pill Chamberlain these bitches love my music "
3 0 2 1 1 " Teanna Trump probably cleaner than most of these twitter hoes but"
3 0 3 0 1 " Gay niggas couldnt wait to act like bitches tonight"
3 0 3 0 1 " And ima steal his cat n replace it with a pitbull RT He a bitch you should do it"
3 0 3 0 1 "amp hes gone always be a hoe"
3 0 3 0 1 "Son of a bitch took my Tic Tacs I like this movie"
3 0 3 0 1 "All I wanna do is get money and fuck model bitches Russell Simmons"
3 0 2 1 1 " I probably wouldn8217t mind school as much if we didn8217t have to deal with bitch ass teachers Retweet"
3 0 3 0 1 " Im a fucking fag they said"
3 0 3 0 1 " Females think dating a pussy is cute now httptcoVxBJg26Gsz how does doing this stuff make him a pussy"
3 0 0 3 2 " SimplyAddictedToGuys httptco1jL4hi8ZMF woof woof hot scally lad"
3 0 3 0 1 " Have ya ever asked your bitch for other bitches kanye voice Yes"
3 0 3 0 1 " How u gone bring ur side bitch to a game where You know Ya gf friends at I SWEAR"
3 0 1 2 2 " httptco3gzUpfuMev woof woof and hot soles"
3 0 1 2 2 " Lemmie eat a Oreo amp do these dishes One oreo Lol"
3 0 3 0 1 " bitch fuck u httptcopXmGA68NC1 maybe youll get better Just httptcoTPreVwfq0S"
3 1 2 0 1 " Fuck Red Malone man bitch ass niggah could you please use complete sentences"
3 0 0 3 2 " Why the eggplant emoji doey he say she looked like scream lmao"
3 0 3 0 1 " Hennessey Venom GT httptcoi8eGMnKaJ9 thats one sexy bitch"
3 0 3 0 1 " Him seh me pussy wetter then a shower curtainahmesehwetnessltlmao"
3 0 3 0 1 " Eaglesnation and every Eagles need to see that pic I just posted because that bitch just said the most racist shit"
3 1 2 0 1 " Yo fuck skateboarding all yall some wood pushing faggots man ball is life httptcoVBCzP6HMT7
"
3 0 1 2 2 " baby monkey bathtime httptco7KPWAdLF0R
Awwwwe This is soooo ADORABLE"
3 0 3 0 1 " I aint shit Damn Skippy lol"
3 1 2 0 1 " u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b gt30chance"
3 0 3 0 1 " httptcoLuUBGL9Y5u rings mvps bitches lol"
3 1 2 0 1 " ppl talk bad about the ghettohood but as a kid growing up a nigga had funnnnnnn "
9 0 7 2 1 " The facts on tattoostattoo httptcoZwnbhpDZ8e hes a pussy with not tattooing them nipples"
3 0 3 0 1 " Bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches"
3 0 3 0 1 " Get worshiping bitch httptcoR37CejCjou woof woof"
3 1 2 0 1 " Wow Im lost Are those buttcheek piercings httptcoyn6guyOUQ6 yeah shes a hoe"
3 0 3 0 1 " Ok sis Shed rather be a broke bitch shrugs shell have to tell me how it works for her"
3 2 1 0 0 " queer gaywad"
3 0 3 0 1 " faggot read my tweets after dat k it wasnt even funny lol"
3 0 3 0 1 " This bitch was so ungrateful httptco06e77bGwbx fr LULWHORE"
3 0 3 0 1 " I been kidnapped yo bitch"
3 3 0 0 0 " alsarabsss hes a beaner smh you can tell hes a mexican"
3 1 2 0 1 " happy birthday nigs Thanks yo"
6 1 5 0 1 " when ur teacher tells u that u have homework httpstcoRKk5vawIj1 this bitch need to go"
3 1 2 0 1 " that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul httptcoOSIpBKPr9h"
3 0 3 0 1 " What would yall lil ugly bald headed bitches do if they stop making makeup amp weave"
3 1 2 0 1 " Leafs better win this damn game so I can go riot and shit EarlyChristmas you better start looting my nig"
3 0 3 0 1 " Going back to school sucks more dick than the hoes who attend it"
3 0 3 0 1 " On my way to fuck yo bitch httptcoj906T5zE2R me as a year old"
3 0 3 0 1 " how come you never bring me food i dont have a car retard"
3 0 3 0 1 " If Richnow doesnt show up with hella tinder hoes Im not his friend anymore chill I brought like like prople"
3 1 2 0 1 " How bout them Cowboys Shutup pussy"
3 0 3 0 1 " LMAOOOOOOOOOOO this nigga httptcoAAnpSUjmYI ltbitch want likes for some depressing shitfoh"
3 0 3 0 1 " girl you know I was spitting that G shit to you amp you was going lbvsbitch plz"
3 0 3 0 1 " Let me make a couple tweets off cuzzo page so I wont get in twitter jaillmao bitch dont trick me again"
3 0 2 1 1 " Harlem shake is just an excuse to go full retard for seconds"
3 0 3 0 1 " amen miley httptcoP2Kb2tfyxrokay but she dont need to act like a hoe just bc shes emotionally damaged foh"
3 0 3 0 1 " having one loyal female is wayyyyy better than having hoes idc "
3 0 3 0 1 " Pussy licking pussy meow meow StopWhitePeople2014 httpstcoKeegDCjS5K8221 "
3 0 3 0 1 " Check out our 12th man CowboysNation even with all those faggot ny fans in the stands"
3 0 3 0 1 " What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch"
3 0 3 0 1 " im the bitch okay nudes pat wow"
3 3 0 0 0 " youre fucking gay blacklisted hoe Holding out for TehGodClan anyway httptcoxUCcwoetmn"
3 0 3 0 1 " The fuck be wrong with these bitches Nobody knows"
3 0 3 0 1 " Yall shut upp make me bitch"
3 1 2 0 1 " I hate a Im pregnant type of bitch"
3 0 3 0 1 " Got bitches in the DM but I dont ever readem which is y your top "
3 0 0 3 2 " Baseball season for the win Yankees This is where the love started"
3 0 3 0 1 " Little stupid as bitch I dont fuck with yoooooouuuu"
3 0 3 0 1 " she really asked me that dead ass serious tho all i could say was bitch wheet LOL"
3 0 0 3 2 " Im an early bird and Im a night owl so Im wise and have worms"
3 0 1 2 2 " Overdosing on heavy drugs doesnt sound bad tonight I do that pussy shit every day"
3 0 0 3 2 " Pit Bulls Photographed As Lovely Fairy Tale Creatures httptcoQ0Sm89oOLh8221 They are fairy tale creatures"
3 0 3 0 1 " Aw fag dont tweet aw to me lol"
3 0 0 3 2 " As long as the Lakers trash from now on I could careless And thats real CC hahaha"
3 0 3 0 1 " I didnt say anything tho kiss me then faggot"
3 0 0 3 2 " this the I play soccer cheat on girls and wear khaki coloured cargos haircut httptcoZUai7qWBIR yup"
3 0 3 0 1 " I could go for a fat ass bitch on my lap same"
3 0 3 0 1 " missed calls 128544128545Das yo PO bitch twitter finna be screamn FreeMoneyMelle"
6 0 6 0 1 " Ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao "
3 0 3 0 1 " 3 Amo los pies httptco4QE1hDkK8i8221 fuck yeah"
3 0 3 0 1 " These hoes be thinking Meat wont slap they ass ainna bruh"
3 0 3 0 1 " Yall bitches wit no edges be doing the most talking "
3 0 3 0 1 " Yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit"
3 0 3 0 1 " I wanna have sex with my mom fuck her right in that pussy where I came from damn you got hacked like fuck"
6 0 6 0 1 " If she kiss u with her eyes open watch that bitchlmfao"
3 0 3 0 1 " You a woulda coulda shoulda ass hoe "
3 0 3 0 1 " Happy Bday Bitch Ass Nigga preciate that bitch roll up"
3 0 3 0 1 " used to send that bitch up"
6 0 6 0 1 " Ugly bitches be like Im my own WCW duh bitch you aint nobody elses128514128514"
3 1 2 0 1 " nigga you know we hacky sack hoes nah I throw no look passes lmao"
3 1 2 0 1 " Glad Im getting outta Atlanta Nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em"
3 0 1 2 2 " This isnt ghettoits smart httpstcoMPAzQ3Jswf Im doing this idc"
3 0 2 1 1 " I would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place"
3 0 3 0 1 " Being single isnt an excuse to be a hoe "
3 1 2 0 1 " White boy power bitch black power bitch"
3 0 3 0 1 " Lets get drunk get blowed spit shit spark blunts amp fuck hoes Bro white dudes have no chill"
3 0 3 0 1 " bitch where u been Around the world and back Where you been"
3 0 3 0 1 " if I dont get my dick sucked at yo party by a bad bitch Im fr gone set it off by "
3 0 2 1 1 " oomf is soooo cute But he probably has hoes on him a lot"
3 0 3 0 1 " In every cartoon theirs alway a saving these hoes lmao httptco9uKD8wtZ6x lmao damn captain SaveAHoe"
3 0 1 2 2 " Who wants to get there nose in these bad bois then scally chav sockfetish stinking httptcoFeQxgN0W6I hot sox and legs"
3 0 3 0 1 " I wish I was a bitch like my brother keezy ooooow I bet you do"
6 0 6 0 1 " If you dressed up as a cat for Halloween you are basic or a pussy"
4 0 4 0 1 " Can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it Katielt3"
3 0 3 0 1 " stop being scared to choke her during sex u bitch ass niggas She8217ll like it Says the guy who hits women out of bed FOH"
3 0 3 0 1 " ha well iguess I make them hoes loyal bro theyll never be loyal that y they hoes my nig"
6 0 6 0 1 " Oh man its am you off a molly ho where the fuck ya seed at fixed"
3 0 3 0 1 " Youre not a man if you refer to every girl as a bitch"
3 0 3 0 1 " Lmfao this cat started beating the shit out of me my nigga finally got some pussy MY NIGGA"
3 0 1 2 2 " Peel up peel up bring it back up rewind back where Im from they move Shaq from the line ooooow who tf said that trash"
3 0 2 1 1 " io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha"
3 0 3 0 1 " naw its my old tape new cover my upcoming mixtape is KingOfTheHill Yeah Im waiting on that hoe Mayne"
3 0 3 0 1 " Ol dirty foot ass bitches this was too funny to me"
3 0 3 0 1 " thats where I get my yellow flags for being amazing HELL YEAH NIGGY"
3 0 3 0 1 " Dont got time for bitches to be actin iffy"
3 0 0 3 2 " UCFPINKPARTY come on stay alive knights nation This is still the early bird special ComeAtMeUT"
3 0 2 1 1 " These hoes aint loyal no they aint httptcoh1UBsVbkGl Smfh amp wonder why nobody decent wants them"
3 0 3 0 1 " Bruh you studs keep thinking Im soft as hell Ask ya girl how many times she screamed she was my bitch Oh okay STFU BYE HOE"
3 0 3 0 1 " dry pussy bitches always blame it on the condom128514128079128514128079128514"
3 0 3 0 1 " shut yo bitch ass up httpstcoIemN1u0gm5 "
3 0 3 0 1 " Gucci Mane in jail and dropping mixtapes every month and you hoes cant even text back"
3 0 3 0 1 " You love these hoes more then money wats wrong these niggas"
6 0 6 0 1 " A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo sounding like me over there lol"
3 0 3 0 1 " Easy cum easy hoe Thats a fact "
3 0 3 0 1 " Charlie Sheen is too real httptcogGGdK3kOV7 major fucking respect for Charlie Sheen"
3 0 3 0 1 " Wish I had a bae You got all the hoes tho"
3 0 3 0 1 " Fuck twerking bitch can you cook "
3 0 3 0 1 " bitch wtf httptcoDaSmycxODB"
3 1 2 0 1 " Shut up zoe fight me pussy8221 for zoe Im good man You are good maam Move along now"
3 0 3 0 1 " Lmao fucking snake bitches em"
3 0 3 0 1 " Big booty hoes everywhere sheesh damn "
3 0 0 3 2 " Stay tuned to for an update on the report that 1B will be out weeks bum"
3 0 0 3 2 " I play soccer cheat on girls and wear khaki coloured cargos haircut httptcotYCIhD6PkW8221 yes lmfao"
3 0 3 0 1 " Oregon chokes every year get off the field trash ass program RFT"
3 0 3 0 1 " Def not cowboy lol Terrell Owens was the best Eagle amp Cowboy ever dude cried like a bitch on tv over Romo"
3 3 0 0 0 " LMFAOOOO I HATE BLACK PEOPLE httpstcoRNvD2nLCDR This is why theres black people and niggers"
3 0 3 0 1 " How could u do this to me bitch potent"
3 0 1 2 2 " httptco3Jk4kR44X3 a pissed lad past out I would lick his dirty soles while he slept"
3 0 1 2 2 " httptcoPrrskknqRv love frat boy w soft long soles"
3 0 1 2 2 " httptcoXpSC3makgJ sexy lad with hot soles and arches"
3 0 3 0 1 " nah fam I gotta cheat with the hoes depends on the female i feel"
3 0 0 3 2 " I got hicks lol"
3 1 2 0 1 " This new twitter is confusing the shit out of me Go back to south america bitch"
3 0 3 0 1 " Toto means ass or vaginaI think pussy cause toto santi is like nasty pussy"
3 0 3 0 1 " but what if he actually does choose the ugly bitch over you 58381Her ass must be fat"
3 0 3 0 1 " bitch couldnt kill my vibe if ya tried dis why i love miley "
3 0 3 0 1 " Im tired of bitches saying I look mean nigga you big af wear tight shirts and grim everybody"
6 0 0 6 2 " birds your grandkids may never see thanks to climate change httptcoXqmXHkAsWt httptcoRbITeGRnhm Climate"
3 0 3 0 1 " Stay beautiful you bitch"
3 0 3 0 1 " WutKinda r purple Ceeeleeeman this gurl was jus playin on the stupid hoe track But in still shitted on sum gurls"
3 0 3 0 1 " Money getting taller and bitches getting blurry"
3 1 2 0 1 " I aint never seen a bitch so obsessed with they nigga128514 Im obsessed with mine "
3 0 2 1 1 " Kobe stay talking trash But lets not forget httptcoVH4tnEkvTP I meant to do this one Smh"
3 2 1 0 0 " At least Im not a nigger httptcoRGJa7CfoiT Lmfao"
3 0 3 0 1 " People always asking me what Im mixed with She a bad asian bitch lol"
3 2 1 0 0 " Ariza is a snake and a coward but at least he isnt a cripple like your hero Roach lmaoo"
3 0 1 2 2 " Fosters home for imaginary trash8221 WHOA CHILL that show was everything tf"
6 0 5 1 1 " I am lowkey tired if you tired be quiet and go to sleep hoe"
3 0 3 0 1 " Stop bringing weird niggers into my mentions httptcocussDJesRK"
3 0 3 0 1 " We dont love these hoes "
3 0 3 0 1 " If yo girl cant have homeboys you a ol weak bitch ass nigga"
3 0 3 0 1 " I think worst advice I gave you was dont be a pussy and speed up lol"
3 0 3 0 1 " Quote this tweet with your favorite animalpussy"
3 0 3 0 1 " I hate when strippers tell you theyre dancers Hoe ballet dancers dont pop their pussy to Beethoven You a STRIPPER"
3 0 3 0 1 " Andrewbryant Poff has double vision after beers
Poff Double pussy smh"
3 0 3 0 1 " When bitches TWERK on the computer ME In ya in ya damn "
3 0 3 0 1 " 8220 Prince THIS is art httptcoEPHRWxMBHr8221 nobody takin his bitch"
3 0 1 2 2 " of welfaregovernment aid is claimed by white people So yall black slander is trash now"
3 0 3 0 1 " These bitches dont care they just play that role"
6 0 6 0 1 " It took a while for you to find me but I was hiding In the lime tree dis bitch in da wrong tree bro"
6 3 2 1 0 " Drakes new shoes that will be released by NikeJordan Yes theres glitter on the shoes httptcoQCtPLxHEXM dudes a fag"
3 0 1 2 2 " inna di ghetto You alone lmaoo"
3 0 1 2 2 " hoes Austin8221 teach us AustinI teach u how to get curved Thats all I know"
3 1 2 0 1 " bitches cant cook but know how to suck dick so to the ones that can do both"
3 0 3 0 1 " Fat hoes get chose lol"
3 0 3 0 1 " hoesaintloyal well theyre hoesno one expects them to be loyal"
3 0 3 0 1 " ol bitch ass httptcoAmcOinY0wG"
3 1 2 0 1 " Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad lmaooo"
3 0 3 0 1 " Just because tony romo at the mavs game dont mean he still not a bitch lmao Fuk them cowgirls lol bitch fuck you"
3 0 3 0 1 " Holy shit Freddie Highmore was in Charlie and the Chocolate Factory
Me rolls on the floor laughing"
3 1 2 0 1 " I dont want to have sex with my gf because I feel like Im using her anonymous Whata faggot"
3 0 3 0 1 " One of your followers with this httptcoF1TJl9xnCT somebody bitch if you dont"
3 0 3 0 1 " If ya bitch always bitching clearly she care Or just an annoying Bitch"
3 0 3 0 1 " These catfish hoes thinkin they slick But niggas catching on "
3 0 3 0 1 " Cant worry about a bitch that aint worried bout me real"
3 0 3 0 1 " Side hoes are for insecure niggas that cant handle a real one"
3 0 3 0 1 " Lmao This bitch come scooting in the tent like she about to fuck some shit up "
3 0 3 0 1 " My cousin said he share hoes with his brothers He said sharing is caring and he love his brothers "
3 0 3 0 1 " im hungry but ionn wanna spend my money on food128530Broke hoe problems "
6 0 6 0 1 " Dese hoes be LYIN to all of us nigga"
3 0 3 0 1 " httptco4b427dQZCV oh yeah fuck that bitch"
3 0 1 2 2 " Eli Manning just threw his NFLleading 27th interception of the season Lmao trash"
3 0 1 2 2 " USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team httptcoJOOsdSubIR hes a bitch"
3 0 3 0 1 " Guess what I also have zero time for your mansplaining Adios Stfu pussy"
3 0 1 2 2 " Chilling httptcomik3iPNle6 sexy scally lad"
3 0 3 0 1 " I aint sharing no bitch if you mines you mines "
3 0 3 0 1 " money only impress the simple broke bitches"
3 0 2 1 1 " Pisces will never be anybodys bitch they dont let people control or change them Rigghhht"
3 0 1 2 2 " tuku ho idk blah blah blah "
3 0 1 2 2 " Im not mad cuh hahaha suure tuku ho ita "
3 0 3 0 1 " These hoes is crazy"
3 0 3 0 1 " You aint ever gonna be a slice bitch Kevin hart "
3 0 3 0 1 " Oomf so fuckin fine tho dam her dont be no bitch"
3 1 2 0 1 " I wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags"
3 0 3 0 1 " NewSATQuestions
Yeah bitch yeah bitch call me _______
a Maybe
b SteveO
c Later
d Jesse Pinkman
"
3 0 3 0 1 " Hickies in between her thighs right by her pussy gtgtgt Its only right"
3 0 3 0 1 " Would you still love me when Im no longer young and beautiful No Ugly monkey ass"
3 1 2 0 1 " yall come through the frontbitch I aint coming"
3 1 2 0 1 " faggot bitch httptco2HyyAbk4eH"
3 0 3 0 1 " yea Im on my iPad I dont work this Friday Lets ball this faggot up i work "
3 0 1 2 2 " httptcoBYj1HOyhmG this scally lad would get it"
3 2 1 0 0 " GerrysHalloweenParty httptco3ycrSrnjHc Halloween was yesterday stupid nigger"
3 0 2 1 1 " Chrus still supahot tho walks up to teacher with test drops test in that bitch fohead httptconb5VgdssgI"
3 0 3 0 1 " I love eating pussy lol I never get full lol8221 I can eat that shit forever lol and ever"
3 0 3 0 1 " No slushes 1285498221hoes nasty anyway fam1285648221them hoes taste like meds127815127815127868"
3 0 2 1 1 " No slushes 1285498221hoes nasty anyway fam128564"
3 1 2 0 1 " BOBBY BITCHby be getting me live as fuck hell yea i play that hoe before my workout"
3 0 3 0 1 " Yo bitch is Gucci Mane My bitch a stoner httptcolt9LIJjpg9128514128514128514128514128514128514"
3 0 3 0 1 " I can ride your bitch with no handle bars"
3 0 3 0 1 " And if you aint a hoe get up out my traphoussseeeee"
3 0 0 3 2 " sad TV character deaths were still bitter over httptcouLclFUF8nC httptco1RXYQOOsM0ned stark was the man"
3 0 3 0 1 " These harbor bitches are all Party Bus hoes Lol all"
3 0 3 0 1 " pussy love it"
3 0 3 0 1 " Ultraviolence video its coming you little bitch MTVHottest Lana Del Rey httptco533fLbvWqh bitchy promo"
3 0 3 0 1 " On my way to fuck your bitch httpstco4lMTFNL2iy LMFAO KITTYCOPTER"
3 0 0 3 2 " A smuggler explains how he helped fighters along the Jihadi Highway httptcoUX4anxeAwd"
3 0 3 0 1 " Aww their avis look so cute together httptco9lPorCb8w0 do I gotta get Ike avi on this bitch "
3 0 3 0 1 " Its simple dont be a hoedont worry about being exposed fight mewhy "
3 0 3 0 1 " whys this bitch boosting herself httptcouOd2f5WtKV Her size isnt exactly the most healthy tho"
3 0 3 0 1 " bet not be no bitches 128514128514 Kim bye"
3 0 3 0 1 " Damn near gotta protect my tweets stalkers being annoying you got that dope dick Drive these bitches loco"
3 0 3 0 1 " Im making marack my girlfriend aye b you pullin hoes just like o taught you"
3 1 2 0 1 " Bruno fag boy you love me"
3 0 3 0 1 " I must be a bitch8221 you are sike naw This why we always beefing "
3 0 0 3 2 " Down Yankees look to rally in the bottom of the 9th RALLYCAP"
3 0 3 0 1 " Dont take advantage of a nice person8221 hoes everyjuan"
3 1 2 0 1 " Happy birthday bitch nigga Thanks pal"
3 0 3 0 1 " Sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday"
3 0 3 0 1 " cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
3 0 3 0 1 " ewww I said THAT last Sundayas in the last Sunday I was there Read it again nigs128563128563128563128563128563"
4 1 3 0 1 " I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back Strong Mush or Shake"
3 0 3 0 1 " My pussy still fresh lt something stank girls say"
4 0 4 0 1 " Ass slapping is one the greatest things Haha I slapped a girl on the ass She got mad I aint get pussy for a week"
3 0 3 0 1 " yeah Texans are so much better you fucking retard I see that youre mad about this"
3 1 2 0 1 " Nd wtf is up with dark bitches with blonde PLEASE HAVE SEVERAL SEATS HOE looking like blackampmilds out here"
4 0 4 0 1 " Theres a lane some bitches need to stay in the left n get right the fuck outta our face "
3 0 3 0 1 " I hate when boys deny that they have bitches smh"
3 1 2 0 1 " Ya nigs out there still saying yall dont eat butt WITH A STRAIGHT FACE"
3 0 3 0 1 " Im a boss ass bitch that needs to sit in a corner"
3 0 3 0 1 " Hes a hoe I cant"
3 0 3 0 1 " Me And Paul Thinkin Bout Gettin Rentals For Da Weekend 128665128168128168oooh shit bitches betta stay out da streets"
6 0 6 0 1 " bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story "
3 1 2 0 1 " why do my friends hate me because you a ratchet hoe"
3 1 2 0 1 " No love for these fuck niggas hoes"
3 0 3 0 1 " Hot meat httptcoBRz8Imk5vK sexy as fuck scally lad I would love to meet him and his trainers"
3 0 3 0 1 " Sniff httptcoFHHbBRMYBN perved up scally lad fuck yeah"
3 0 3 0 1 " These bitches love Sosa"
4 0 3 1 1 " I legit watched it for about or seconds 1285298221SO DID I WTF prob cause were retarded smh"
3 0 3 0 1 " What should I name my cat ideas Mr pussy"
3 0 2 1 1 " httptcotM28mh5XG2 woof woof Sexy thug boy scally"
3 0 3 0 1 " u see the damn phone ringing when you married bitches makes demands You havent called me"
3 0 3 0 1 " Tevin is my favorite sophomore I think hes so funny Hes really not Lmaoo hes a little hoe"
3 0 3 0 1 " sex positions httptcont3PABMWsm httptcoJmHZ8Sczf0naw this what u call fucking the soul outta bitch "
3 2 1 0 0 " is bored supposed to be cute you faggot Sometimes"
3 0 0 3 2 " One mans trash is another mans treasure "
3 0 3 0 1 " I dont got no type Bad bitches is the only thing I like Iongotnotype"
3 2 1 0 0 " lassen cc the coach wants me i feel it youll get more my nig no doubt"
3 0 3 0 1 " god teeth gold chain
white bitches cocaine"
3 1 2 0 1 " Its me hoe its me hoe128129 shhhhh"
3 0 3 0 1 " In DC we call them rollers in Chiraq we call them thots All across America they have been known as a hoe"
3 0 3 0 1 " Im gonna miss that bitch of a bus driverno you wont Dont lie"
3 0 3 0 1 " hate when bitches try and put you in the friendzone bitch Im tryin to score put me in the endzone ON MY SOUL"
3 0 1 2 2 " Ashley Young has tried to deny that bird s landed in his mouth gt httptcomlr5eWgonK httpstcoAvCHFj7reM hahaha"
3 0 3 0 1 " yall both gimped up Aint tht a bitch huh lol"
3 0 1 2 2 " Take me for a ride httptcoH5mAtjYfGAredneck woof woof"
3 1 2 0 1 " oh my god I love Victoria Mitchell all my bitches love me"
3 0 3 0 1 " That long distance shit wack I knew the bitch was cheating uh oh"
3 0 3 0 1 " HES DOING IT RIGHT httptcoJZKkiVUVjC no bitches smh"
3 0 3 0 1 " they BAN dat pussy for life amp he gotta pay millon dollar fine"
3 1 2 0 1 " Roses are red and violets are blue and niggers are black you know thats true "
3 0 0 3 2 " Sitting on my window sill window open bird tries to fly in Smacked it ProtectTheAnimals "
3 0 3 0 1 " But a nigga gon be a nigga be a nigga You sound fuckin retarded"
3 0 0 3 2 " a video an entire media will likely mock httptcoXFr1cRXWSm i am such a crybaby"
3 0 3 0 1 " Im not even shy stfu kikis mom Hi angelique Angelique Smiles Dips cracker in soup"
3 0 3 0 1 " Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville Smh "
3 0 3 0 1 " Karma is a bitch Damn GodProtectsHisAngels sips tea"
3 0 3 0 1 " Fuckin hot gym pussy httptcoZVYmcXQuTA fuck yeah"
3 0 0 3 2 " Jihadi patron Hajjaj alAjmi is arrested at Kuwait airport httpstcoZmloKfWDQl"
3 0 2 1 1 " You can call me Fireman cause I turn the hoes on"
3 0 3 0 1 " I could never have a bby by a lil dick Thts y I got a abortion by the last bitch oh My God"
3 0 3 0 1 " Watch women try to argue with me like they have a dick and actually fucked some pussy before I hate when bitches do that"
3 0 3 0 1 " And smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded"
3 0 0 3 2 " tweety bird tho 128514128514128514128514httpstcoJbnoNM3N1P"
3 0 3 0 1 " my pussy sweet like watermelon httptcoSKlPh3TtoG Thotermelon"
3 0 1 2 2 " When twitter rappers dm me their trash links httptco35nMR4AUQg"
3 0 3 0 1 " loud bitches annoy me"
4 0 4 0 1 " Eventually every bitch turns into that hoe Truuu"
3 0 3 0 1 " I swear if oomf try talking to me tomorrow pussy"
3 0 3 0 1 " You bitches be pretending to be TF crazy You aint never lied"
4 0 3 1 1 " k bye hoe um bye "
