 text class_label
361 "RT @Ciennanicolee: I'M A BAD BITCH, HOE U CAN'T KILL ME" abusive
365 "Line from this #film 
""I don't take orders from a fucking woman!"" 
- https://t.co/Rf4P2NCJEd https://t.co/Du7TlROFtU" hateful
372 "JAP Battle (EXPLICIT) - ""Crazy Ex-Girlfriend"" https://t.co/65vwI3oOL4

Awe Snap, Scarsdale!!! https://t.co/65vwI3oOL4" hateful
373 "RT @WestHamMatters: I can see the headlines now...

""No service for Andy Carroll at The Vodafone Stadium tonight"".

Can't fucking wait!" normal
379 "Hate girls that be all up on my mans notifications but when he tweets about me you bitches are no where to be found 😂" abusive
394 "hacked stop leaving your twitter up 2 fucking school idiot" abusive
395 "Titanfall 2 - SALTBALL. GRAPPLE. RONIN. | Music by Iniquity https://t.co/XbLxu9nQjx via @YouTube shits sick dude! @iNiQu1TY" abusive
409 "RT @ImmortalDixon: HOLY FUCK DID THEY JIST THROW MICHONNE!?!?

IF MICHONNE DIES, WE RIOT!
#TheWalkingDead #TWDFinale" abusive
413 "@pepsi No need to apologize because some people are too retarded to see your message of positivity and to trying to unite us." hateful
417 "IM SO FUCKING PISSED!!! I HATE YOU TRUMP, I WANTED TO START WW3" hateful
420 "#DesiPorn,#ManDingo,#AsianButts,#Aunty,#MatureMoms: Ugly Slut With Bushy Clam Gangbanged Brutally https://t.co/5EAjgSlXuF" abusive
425 "RT @jaackkieeee_: I'll ""@"" them but they too lame , don't even have a twitter @x_redsid you know 😂 , grown ass woman !! 😭 https://t.co/sdWM…" normal
426 "RT @ReutersWorld: Islamic State says U.S. 'being run by an idiot' https://t.co/WIEwDnVrQE" abusive
427 "@eljaverg @RicardoAlemanMx Dude are yuo talking abaut your familia. Yuo look so idiot retard" abusive
433 "@thorsen1nk THAT IS A FUCKING MOVIE! https://t.co/ywG7IZywKk" spam
437 "RT @soldier_777: Justice for Bud- cruel students lit up fire crackers in his mouth! Plz sign: https://t.co/GEMnucSy2K https://t.co/81De4AXo…" hateful
438 "@goldenbvllets Probably because my brothers an idiot 😂😂" abusive
439 "SHOULD'VE WON THAT BLOODY MATCH, DAMN IT REF. Ibra's goal wasn't even offside damn it" abusive
440 "RT @spice_dixie: Yepper...I'm annoying AF...I have a meme for everything. I'm just shitty that way." abusive
442 "Look which idiot bought herself DDR4 RAM without owning a DDR4 motherboard 

THIS GENIUS" abusive
443 "@MasonJarvis @RiannePageeX @frankiethedug The fucking man like! Ma maws banned him from the computer that's how he's no been on in a while" abusive
444 "RT @abhijitmajumder: Please don't engage with idiots or let them affect you https://t.co/Dks3VaJKRG" abusive
446 "You a bad bitch don't eva forget that https://t.co/WDx5VJZW3J" abusive
447 "RT @trev_up: I hate when a song reminds me of someone I give 0 fucks about" abusive
452 "RT @DPRK_News: ""Attack dog"" US media meekly kowtows to Noted Idiot Trump after show of force, like timid piglets cowering before a wolf wit…" abusive
457 "@JJohnsonLaw @intelligencer I wish she would move to Montana so she could be my senator instead of that idiot steve daines" hateful
458 "RT @YG_WINNER: [🎵] WINNER - FATE NUMBER FOR

Melon https://t.co/hzZj18a4N3
Mnet https://t.co/qUYf336tya
Naver https://t.co/ceJjugsKfd" normal
460 ". So sick of this #altmedia bullshit #fakenews #syriastrikes #syriahoax . . To be WOKE you must 👉 #thinkforyourself… https://t.co/vRG7JmGAgJ" abusive
473 "@JDfromNY206 Brooooo fuuuuccckkk that submission spot was fucking insane!!" abusive
474 "RT @keeleydaniellex: Actually disgusting how MINGING I look in ANY photo thats not taken by me 🤙🏼😂 catfish 101" normal
477 "You have always been an idiot 🤣 https://t.co/jQoqFaH7Xe" hateful
478 "RT @PrisonPlanet: Join us today on the DC mall for Pussy March 2 against evil fascist dictator Drumpf. #RESISTANCE #NOTMYPRESIDENT #IMWITHH…" hateful
482 "RT @NickBorrego13: Had a bad ass night with with my niggas and my girl. @Gustavo2896 @Childshpaulbino @_natalietg @Foreverr_Micaa" abusive
485 "RT @RenoLace: Holy fuck the Hardy Boys!!!! #WrestleMania" abusive
486 "RT @BBErika_: Hate a nigga that try and run me, ""you can't wear this, you can't go out, you can't chill with them"" likeeeeee is u my man or…" hateful
487 "RT @charles_mayiga: The idiots of this world 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/FZAM2NiHRQ" abusive
490 "RT @th3j35t3r: ISIS: ""US being run by an idiot' 
https://t.co/e64L4uLvmp" abusive
492 "RT @Cyn_Santana: Yoooooo RISE N GRIND. THERES A BAG OUT THERE, GET THE FUCK UP AND GET TO IT. LETS GO!!!!!" abusive
497 "Hate wasp and bee season, wasps keep flying into the train and I keep having to change carriage ffs 😩" normal
498 "Talamabout going to dates with your filters. No wonder that nigga was disappointed 😂😂😂😂😂😂😂" hateful
499 "My 21st i wanna be in Miami getting so fucked up !!!!!" abusive
500 "RT @DejaCQQ99: Someone please buy Nelle a one way ticket and put her annoying ass on a train... #GH" abusive
503 "There's always that one idiot in the class! STFU 😒😒" hateful
504 "Columbian niggas outchea tweaking on TV, getting disgusting for the camera" hateful
505 "RT @BiafrasayForum: {FLASH} Nigeria Will Die If Govt. Continues To Neglect Niger Delta Region – Delta Cleric, Ajokparoghene: The… https://t…" normal
507 "I put the js on the hoes look clueless I put the Designers on the hoes get stupid #truestory" abusive
508 "Idiots are told by a man what to wear https://t.co/kMVtHTpTJe" abusive
510 "@MiraPrivate Omg! I can't fucking spell! Muckbang, also, play overwatch" abusive
511 "@kamaalrkhan 😂😂😂
See who is talking
😂😂😂
krk is himself biggest *hutiya, idiots n frustrated in life.
he put filters… https://t.co/4EsdymRnwf" abusive
514 "If you don't want my PUPPY jumping on your dog, don't fucking bring him in my yard where MY PUPPY is playing. Stupid bitch." abusive
519 "@Partisangirl What the triple fuck!!!! What the hell is going on?" abusive
523 "RT @sarah131214: So sick of assadists stalking my account piss off blocked! https://t.co/FNpEnY0ab7" abusive
526 "@HargreavesRobin Oh Hal! 😱😂😳
What is dogs' hold over idiots like us? 🙄" abusive
528 "@cIoudtears They're absolutely fucking pathetic, I need to know what the hell is going on so I can sort out transpo… https://t.co/ekvTudMbHO" abusive
530 "@OfficialSPGB @realDonaldTrump @wwp @WhiteHouse How damn sad is this! A satin on our country!" hateful
535 "I'm forever thankful for the people that make stupid ass threads of stuff that makes me crack up" abusive
536 "RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP" abusive
538 "RT @WORLDSHIPHOP: RT if you still hate this nigga 😂 https://t.co/dnuiVHBfS1" hateful
539 "RT @PostCultRev: [snorts gigantic line of bubble gum flavored cocaine] oh man, let's watch some fuckin' anime" abusive
541 "@Vxrsn @Jultegra_ you should of joined my party when I wanted you bum idiots when you were on those bum accounts" abusive
542 "my snapchat is chaotic evil bc i post videos of me drinking vinegar to piss people off" abusive
550 "See clapbacks 👏👏👏 may I reach this level of being bad ass 😅 https://t.co/fv0iWHAMYO" abusive
553 "@BriaKelly why the fuck did you let that bitch steal your girl!!! 😡💔" abusive
554 "I wanna hate Tim Tebow so bad but he's the nicest fucking dude in the world." abusive
562 "He called her a pussy. So she retaliates by calling him a bitch? Fighting sexism with sexism? So fucking stupid https://t.co/jHsBPuspBu" abusive
566 "@realDonaldTrump what the hell made you strike #Syria, &amp; just on suspicion raised by anti-Assad sources? You're as bad as your predecessors" abusive
567 "i hate my cancer moon ass she always makes me fall for scorpios or people with a lot of scorpio influence im tired… https://t.co/PmhRXigVeq" abusive
572 "@jmiguelsanto @jamichaelsantos @Twitter @Support There are a metric ton of idiots at @Twitter @Support" abusive
573 "@realDonaldTrump FUCKING STOP KILLING US IN THE NAME OF PROFITS!" abusive
574 "@Wez_Khalifa99 And once he called me an ungrateful bitch and retarded nigga in an argument. It's how we argued. Now… https://t.co/wu2TgdPhK6" hateful
581 "Layy ugly ass tried to hit me with a joke but why was it so corny. She's like I don't think I wanna be your friend anymore 😂😂" abusive
583 "RT @_ialiyah: you bitches not friends , y'all just hate alike 😝" hateful
584 "Hate bitches that you gotta ask 200 questions to get to what you looking for 😭" abusive
587 "RT @sideniggajoel: Lmaooo on god if you believe in horoscopes unfollow me u retarded https://t.co/U0aSpJc7wf" hateful
588 "If you can't make a deal with a politician you're a fucking idiot https://t.co/lxnuKIA7zh" abusive
594 "I really fucking hate u omg D':&lt;!!!! https://t.co/EzjD4xv9p3" hateful
598 "RT @kweenjenn: IF YOU DONT TRUST YOUR GIRLFRIEND OR BOYFRIEND WHY GET IN A FUCKING RELATIONSHIP?!!! 😤😤😤" abusive
601 "RT @Malayna___: Holy fuck !!! 7 years ago 😩😂👐🏼 @_aubbbs @lillkassie https://t.co/vciVMbOeoQ" abusive
607 "I hate a person that assumes shyt like come fucking ask me to clarify I ain't gone lie to you dumbass 🖕🏾" abusive
609 "@RameelAhmad @IKhaulaWalayat @Xadeejournalist IDIOTS boly to...." abusive
612 "RT @jxtuckx: Congratulations, you're an idiot 👏🏻 https://t.co/ol8t1XCPOX" abusive
615 "@Freeyourmindkid Hell yes! He thinks all of us are stupid. If he felt bad about the kids in Syria, he should be let… https://t.co/245PTTD76b" hateful
616 "@Animal_Watch @phil500 @BBCNews @rickygervais 
Hope these evil heartless bastards 
Are found an Jailed 
For Benji pls help
Found them
Update" abusive
618 "Just watched @chicken_film woahhhhh break my fucking heart! RIP Fiona  @Freddie_Machin" spam
619 "RT @DCYOUNGFLY: Since yal want ass shots so bad😂😂😂 http://t.co/NR1lEpyEVd" abusive
621 "RT @nellychillin: THIS NIGGA KD REALLY STUPID. LIKE IM CONVINCED https://t.co/O6iz1l1BDD" hateful
625 "@Kcarlisle9 That's disgusting. Why do people have to be so shitty" abusive
626 "RT @AshhV_: ""Ash I am disappointed in you bitch"" Nel had me like damn 😂😂😂" abusive
628 "i always feel so nasty after eating ice cream 😹 like damn you indulgent btch." abusive
632 "Klavan, u look like s burglar ffs u stupid Estonian cunt" abusive
637 "Islamic State says U.S. 'being run by an idiot' via @Reuters (huh)  https://t.co/MbUK1Cz1t7" hateful
641 "Frank putting some idiot in his place. https://t.co/DC7Jo2GwFG" abusive
647 "RT @TheGoodGodAbove: Stop hating, dammit! I told you NOT to hate! ANYONE! No matter what! Fuck this. I'm goin' to get a pizza and a beer. Y…" abusive
648 "RT @richchigga: hey wassup u bad energy spreading Motherfucker" abusive
649 "@FoxNews @SenJohnMcCain @LindseyGrahamSC McCain and graham are douche bags. Stop talking to those morons!" abusive
659 "Mark Hamill nails Han Solo impression in Star Wars Bad Lip Reading video https://t.co/LtsSTvS7Vn" normal
661 "RT @CrapTaxidermy: Thank fuck its Friday!!! https://t.co/oA1O1zG7Rg" abusive
663 "#showpussy #liveporn fucking #3some insane #undressed russians

--&gt; https://t.co/uQZekzKb8D https://t.co/UQxvQP7Ls6" abusive
664 "Watch me get fucked missonary and doggystyle! https://t.co/pdWNR3bTcr" abusive
667 "Hey hey hey guys! TRUMP is the worst, #trump #impeachtrump #FBI #SteveBannon #THETRUTH you all a bunch of fucking i… https://t.co/yUWEhgmx8g" abusive
676 "hell he rode one in, hes fubama tough !!!! https://t.co/1K1wslnQ1b" abusive
677 "RT @amyshaped: i am the fucking worst when it comes to trying to get that jump shot. https://t.co/Q65Rjr2Tec" abusive
678 "RT @BluntOfLoud: Reason Why These Bitches Secretly Hate Me🤣🤣🤣🤣🤣 https://t.co/ixJD7B4ZDz" abusive
679 "RT @normelanin: normani did u rest? bad bitches needs to" abusive
682 "@serial_jesus It's awful, I'm in 🇬🇧 and no news station here is covering it! It's their job to cover news regardless ffs. Fucking bastards." hateful
683 "RT @bestjenmish: [sends Jared a fruit basket] https://t.co/WYMsCmWKhE" normal
685 "RT @randyprine: ISIS spokesman on Trump: The US is 'being run by an idiot' https://t.co/fdgqiNeivv" abusive
686 "RT @richchigga: hey wassup u bad energy spreading Motherfucker" abusive
693 "RT @VRitchBitch_x: That bitch is nasty and desperate! We're not all like that!" abusive
695 "RT @niigeriann: Hate dirty bitches that give they 🐱  too everybody ❗️💯" hateful
700 "RT @mmpadellan: In case anyone forgot, the IDIOT who blamed Obama for today's Syrian chemical attack was AGAINST bombing Syria in 2013, as…" abusive
702 "RT @doodles088: @Acer please fix @sloanehowell computer. He needs to finish his fuck book Scored. I need it, I gotta have it!!!!! PLEASEEEE…" abusive
705 "RT @Newsweek: ISIS calls Trump an 'idiot' and tells U.S. to await 'bloodbath' in official comments https://t.co/bKfTwwiZEw https://t.co/Kzg…" abusive
706 "@CopTheWorld @_cool_breeze85 @Amiller_79 @amseif19 @Deadlaced @SCOOP208 @CosmicSneaker @Sneakerchief23 this nigga retarded" hateful
707 "The amount of slothy Ass people in Walmart is literally disgusting" abusive
709 "RT @notwaving: I hate it when I'm trying to board a bus and there's already an asshole on it. https://t.co/Qps29bAaoA" hateful
710 "Maggie didn’t even know Ellis, she was a horrible fucking mother. MIND YO DAMN BUSINESS #GreysAnatomy" abusive
713 "@kathryn_dennis Can't believe Tommy girl reported my post caz I cald him out on being an idiot" abusive
714 "@defencepk This is called "" CHILD LABOUR "" You IDIOTS !!! 😒" abusive
715 "RT @ThroughMyKyes: Between the flips all the time and thinking they invented time and space, I fucking hate Ospreay and Ricochet." hateful
718 "RT @OnlyLookAtMino: [!!] Wondering who listens to #WINNER?
According to Melon
People in their 20s followed by 30s
Of which
59.8% = females…" normal
719 "RT @SQUlDZ: This bitch wanna be a penguin so bad https://t.co/pK6YnmXcBS" abusive
