text class_label
" Did Stevie Wonder choose these models MKR" sexism
"MKR2015 MKR why do they keep saying that they are so pretty" sexism
"Is mkr sexist then Four of the six teams in the fourth instant restaurants are an allfemale team" sexism
"MKR anyone can cook from a can girls" 
"We want everyone to know we are not just pretty faces noone said they were pretty though MKR" sexism
"why is their whole menu dick related MKR" sexism
"STOP SAYING SASS OR I WILL PUT MY FOOT UP YOUR ASS MKR" 
"This is supposed to be a fucking cooking show not a bunch of faggots walking stupidly down a runway cringeworthy mkr" sexism
"MKR youd think in her downtime Annie would have paid Napoléon Perdis a visit and learnt not to use the same coloured blush as your hair" sexism
"What a riveting little lesson in walking the catwalk Thanks ladies MKR" sexism
"The missus loves MKR if I have to watch five more minutes of these stuck up idiotic bit hookers Ill neck myself goingtobed" 
"yeah colin would be looking for more fat in his sausage MKR" sexism
"Gay fiancé is not going to cope being away from the fresh meat MKR" 
"Deb better be there tonight or MKR can fuck me hard with a rusty chainsaw and call it mary" sexism
" Really Really Another round MKR those butcher promo girls better be nice to Sheri and Emilie Yes OR else" 
"Sauce capsicum and stock from a packet jarThe quality of cooking I expected Double standards from the promo girls Mkr MKR MKR2015" 
"Aww I was looking forward to Ash and Camilla butting heads with the promo girls The drama wouldve been great mkr" sexism
"Absolutely blondemoment MKR" 
"Sorry but JessieJ on thevoiceau is being a real cunt Youre not all that" 
"So bummed the dull chicks on MKR are using such a great name for their restaurant Sassy Iamlatetothepartytonight IQ" 
" My deconstructed tart joke from the last season of MKR httptco10LPgtdopB" sexism
" Kim Kardashian has had marriages that didnt stretch as long as MKR" sexism
" Just me or hot blondes on mkr not at all hot Just average" sexism
" Did she really just tell them that in order to walk you just put one foot in front of the other mkr httptcox84K" 
" Who was responsible for convincing these girls they were so pretty MKR" sexism
" Gosh I dislike those two girls They just arent hot either MKR" sexism
"Katies a fatty Model Hahahaha MKR killerblondes" 
"Out of the two blondes which one is Beavis and which is Butthead MKR" sexism
"Ive kind of missed Annies batshit crazy weirdness mkr" sexism
"Yall made one point more Calm your tits MKR" sexism
"I dont think I can sit through any more of those blonde slags This might be me breaking up with you mkr" sexism
"MKR The blonde in red has breeders hips in that dress Model my arse" 
"These girls are acting like they put up three good dishes Reality check use didnt Get off that high horse mkr" sexism
"I want to see the butchered girls go up against the Texan who has male sass and his daughter who is actually good looking MKR" sexism
"this is total BS I dont know if I can stand anymore of the Butchers of Bimbo
weaning off MKR" sexism
"He saved them cause he wants to bang them mkr" 
"Its obvious the blonde bimbos make better TV according to Channel Shit cooks mkr" sexism
"Theyre stayingjust so that the producers can have a showdown between them and the posh bitches mkr bringit" sexism
"MKR do the blondes keep pronouncing porno models incorrectly Actually thats harsh sorry to all the ladies in the porn biz " sexism
"Seeing as you two think this is a modelling competition and not a cooking competition I give you two a score of for your looks MKR" 
"Do you get it you Blondes MKR" 
"Your sausage was a little bit short bet Colins been told that before MKR" sexism
"These girls should know skinny sausages are no fun at all mkr" 
"well ya standards are pretty low bitch MKR" sexism
"Colin will save them Theyre pretty blondes as they keep telling us mkr" sexism
" Im evil lol they are not models they hand out free crap in Night clubs lol MKR slaggyNOTsassy" sexism
"Mkr Id score the bimbos a for their instant restaurant just because their personalities suck" sexism
"Sassy Gurls you aint sassy More like bitchy MKR" sexism
"My kitchen rules or my vagina rules MKR httptcoCXXgcf1MHl" 
"Katie and Nikki nice from afar but far from nice MKR" 
"Theres no real technique to the dishes being served up by these blonde bimbos on MKR Chuck together hope for the best" sexism
" Im evil lol they are not models they hand out free crap in Night clubs lol MKR slaggyNOTsassy" sexism
" MKR ah girls you are dumb if you really believe you have pretty faces" sexism
"Promo models are the dangle berry of the modeling world Shit MKR" sexism
"We proved that were not just pretty faces Oh Nikki you proved that when you first appeared on TV mkr" sexism
"correction MKR katie and nikki are really the dumb blonde ones" sexism
"Were not just the dumb blondes with the pretty faces youre certainly not the second part anyway mkr" 
"Weve proven were not just dumb blondes and pretty faces True not just MKR" sexism
"mkr Dumb blondes with pretty faces Well you got that half right girls " 
"Question is are they pretty mkr" 
"Youve just proved that you are two blondes with fucked up faces MKR" sexism
"Dumb blondes with pretty faces MKR" sexism
"killerblondes more like dumblondes MKR" 
"RT Who are the pretty girls these blonde scrubbers keep talking about MKR" sexism
"If its rigged like every other year the Nasty girls will get through for ratings MKR" sexism
"MKR killerblondes the only way these girls are staying is if they blow every bloke in the room So theyre still in with a shot" sexism
"I was so hoping the girls were going to pull something out And they did a breast Slightly unexpected MKR" 
"mkr nikki has hot teeth" sexism
"Are you kidding me These girls on MKR didnt cook their own tomatoes or peppers" 
"Just want to slap the stupid out of these bimbos mkr" sexism
" of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert KillerBlondes MKR" sexism
"Colin was pretty nice to the girls Do you think hes giving them the dick MKR" sexism
" If they think that dessert is refined and beautiful now wonder they think they are pretty MKR" sexism
"FFS a can opener is too technical for the skanky hoes mkr" sexism
"These girls are fucktards MKR" sexism
" Nicki explains the complexities of catwalk modelling You have to place one foot in front of the other
MKR" sexism
" We want to stay in this competition because we havent finished telling everyone how pretty we are mkr" 
"killerblondes Have the producers lost the plot or have my eyes failed In what universe are they even remotely hot in MKR" sexism
"mkr KillerBlondes I dont know whats bigger her forehead or her ass" sexism
"I apologise on behalf of my generation for Nikki and Katie We arent all so vapid MKR NikkiandKatie" sexism
"When I think lemon tart I think tart lemon Yes Colin I see what you did there MKR" sexism
"Tarts for tarts mkr mykitchenrules" 
"mkr The only thing these promo girls are going be able to sell after this episode will be black hair dye painfulmorons not killerblondes" 
"I dont think any of those dishes had sas they were ugly Just like the girls MKR" sexism
"So I take it Katie is a plus size model right MKR" sexism
" Sassy More like trashy MKR2015 MKR" sexism
"I almost hope someone at the table mocks the KillerBlondes because their deconstructed lemon tart looks like crap just like us MKR" 
"mkr Perhaps if the girls had spent less time looking in amp kissing mirrors and more time in preparation amp cooking theyd be better off" sexism
"MKR2015 MKR I dont think these girls can cook Also pls stop the duck face" sexism
"Sassy More like trashy MKR2015 MKR" sexism
"Promo girls What do they promo Gloves and gumboots 3outof10 MKR MKR2015" 
"Refined amp pretty Looks like something a blind kindergarten student chucked on a plate MKR" sexism
"Hate these blonde bitches already MKR" sexism
"Deconstructed tart by lazy tarts MKR" sexism
"This desert is a hot messlike its makers minus the hot mkr" 
"since when does the hill at the footy count as a catwalk isnt that what a promo girl is pimping out jim beam at the footy mkr" sexism
"These girls say theyre butchers I once worked at a boat hire shop so I must be a ship captain MKR" sexism
" just saw your tweet on mkr These bimbos should go" 
"Hope the blonde cows dont make it through MKR" 
"These two blondes are not skinny enough to be models MKR" 
"Lol bitch please mkr" sexism
"And now for the dish that best represents the girls A big deconstructed TART MKR" sexism
"I didnt know they were models MKR" 
"Its not the only thing shes done a lot of Im guessing mkr" sexism
" The promo girls should be on cigarette packets smiling then everyone would quit mkr" sexism
"mkr pretty sure thats how all the chicks walk at Mt Druitt Westpoint" sexism
"Really bitch really Get on the runway and back in the kitchen MKR2015 MKR" 
" So do you think pink undie skank meth teeth has ever cooked anything before mkr" 
"Zebra undies MKR chic in pink dress" sexism
" Katie and Nikki are frkn annoying stfu MKR youre not even hot lol stop RTvidhttptcocRzO2P219y" 
"Oh my lord blondemomentforthe KillerBlondes MKR" sexism
"When her hands get sore she finds another way to get the job done MKR" sexism
"these two take dumb blonde to a a new level MKR MKR2015" sexism
" Everything is deconstructed Theyre no good at erections then MKR" sexism
"Yes you put in the wrong way Cue dumb blonde jokes MKR" sexism
"OMG I just knew they were dumb No common sense or brains MKR" 
"Will this tart be the deconstructing of the sassy girls MKR " sexism
"Hahahahaha blonde moment mkr" 
"That kitchen looks like theyve reenacted Girls Cup MKR" sexism
"WHAT A DUMB BITCH MKR" 
"Jesus how dumb can you get mkr" sexism
"Katie amp Nikkis next job will be playing people who stuff up simple tasks on Infomercials MKR" sexism
"There just horrible lemontarts MKR" sexism
" MKR Tart Lol" 
" Come on Barbie lets go party KillerBlondes MKR" 
" haha and that is all they are good at mkr" sexism
"These girls need to go Their vanity is making me ill Very unattractive mkr" sexism
" Nikkis pouting is annoying me Im ready to wipe it off and kick her off the show MKR" 
" Deconstructed lemon tart because were too bloody lazy and incompetent to do it properly MKR" sexism
"MKR Tart Lol" sexism
"meatgirls bamboozled by a can opener and the sorbet churner promogirls for Danis direct MKR" 
" Nikki has massive armpitvaginas mkr" sexism
" MKR killerblondes fat arms bad teeth and a MASSIVE arse what the hell is that Katie a promo girlmodel of" sexism
"Everything is deconstructed Theyre no good at erections then MKR" sexism
"More egos and arrogance than that pink room can handle in MKR tonight" sexism
"I carnt see the pretty I think they quite ugly promo making out theyll go think it will be tony and lynne MKR" 
" Time to fuck up the tarts MKR" sexism
"Nikki has massive armpitvaginas mkr" 
"Drasco u are not a chef just a wanka One day your misses will ask her self what the fuck am i doing with this dick mkr" sexism
"Crumble curd and cream a description of the girls dessert but also their reaction to Collins inevitable scathing review
MKR" sexism
"Over the duck lips mkr" sexism
"That Emma chick from MKR is a total BumnyBoiler" sexism
"LoL sausage cock and end it with a tart best suited theme for these two MKR" sexism
"Better try harder blondes
MKR" sexism
" Oh Katie and Nikki just because youre both bottle blondes that doesnt automatically make you pretty MKR MKR2015" sexism
"I think Drasco just offered Colin an old fashioned wristy MKR" 
"mkr the only thing funnier than an upside down ice cream maker insert When my brothers ex wife admitted to burning water" sexism
"Girls claiming theyre hot generally have an overinflated view of themselves mkr" 
"These girls are either hand or feet models MKR" 
"Katie is all sASS MKR" 
"Big difference between Sassy and Trashy Sorry girls you couldnt even work a can opener mkr mykitchenrules" 
"Already sick of hearing pretty MKR MKR2015" sexism
"These two need to be in the dictionary under Gen Y mkr" 
"Katies eyebrows are still terrible BTW MKR MKR2015" 
"Oh Katie and Nikki just because youre both bottle blondes that doesnt automatically make you pretty MKR MKR2015" sexism
"Who told these fucking girls they were hot mkr cuntofahead" sexism
" I wonder which of the blonde molls screwed Colin to get that score Probably both mkr" sexism
"So Kat got a new decent hair cut then MKR" 
" I was sure theyd roll Lynn out like Violet Beauregarde mkr httptcoCE3ohCaWrK" sexism
" The highest score in history better be not be the blondes or Kat MKR MKR2015" sexism
"Tonights MKR confirms the casting people trawl the dark depths of the seriously delusional the supremely misguided amp plain rotten cooks" 
" youve lost yr credibility for that junk main Marking models soft after acting tough so long Poor show MKR sellingout" sexism
" cos thats all they suck to get their jobs MKR" sexism
" Drasko takes a peek out of the closet then Bianca pushes him back in MKR" 
" I mean otherwise we would be on mkr or the like fapping on about how sassily fantabulous we are simplygorge" sexism
"mkr why do all these people WANT to cook for a living Dont they realise its another chore just more housework Its fun once or twice gt" sexism
" Everybody get a little greasy on mkr" sexism
"Dumb blondes with pretty faces Youre definitely right on one of those statements Guess which one MKR" sexism
" According to Holly from Geordie Shore Sassy halfway between slut and classy MKR MKR2015" sexism
" Steve Drasko is the male equivalent of those faux models wannabe MKR" sexism
"Oh look get the vacuum theres crumbs on that plate that need sucking up Hey promo girls thats part of your job description MKR" sexism
" You didnt give me a deconstructed lemon tart but have a anyway for the item that wasnt on the menu MKR" 
"Look mum Left right left right Im a model No sweetie youre a promo girl Heres your bikini go sell some shots MKR" sexism
" Another fucking instant restaurant round Fuck MKR" 
"Promo girl Katie calls her stuff spajacock and mascaronie Never cooked before Why has even picked them mkr" sexism
"According to Holly from Geordie Shore Sassy halfway between slut and classy MKR MKR2015" sexism
"Cant believe the blonde bimboz made it throughThat sausage looked like feces MKR" 
"This Colin guy is a tool how rigged is the scoring 7s for main and dessert How ridiculous based on past scores MKR" sexism
"of course they keep the girls hat cause drama could see that coming a mile off MKR" sexism
"Colin likes moist thighs Preferably of the promo type MKR" 
"These girls really put the ASS in sass mkr" sexism
"Colin says the meat in the thigh was moist amp tender Are you talking about the main dish or Nickis thighs MKR" sexism
"A suck on that whores MKR" 
"You in the red dress No just no ANd you in the pink si not much better MKR" sexism
"Still moist and juicy Lets take a selfie MKR" sexism
"mkr Katie amp Nikki are atrocities but Kat amp Andre would be the ones leaving if they had scored the promoskanks fairly Kat has no dignity" sexism
"Damn Kat amp Andre sneak through would much rather Katie amp Nikki had gotten through mkr damnukat" sexism
" Best describes Kat and Andre mkr httptcoQaa6BWi4PM" sexism
"How do you sleep at night Kat You Cunt MKR mkr2015" sexism
"Kat may be a bitch but lets be honest the blondes werent too far behind mkr" sexism
"mkr hey Kat ure a ct" sexism
"Seriously Nikki Keep your arms down to hide the bingo wings and back flab EEEE mkr2015 mkr mykitchenrules" sexism
"Stop smirking you vile bitch mkr" sexism
"Omfg taste and swallow Quote Of The Year mkr2015 mkr mykitchenrules" sexism
"Im annoyed to have missed this live Need some bitchy mkr2015 mykitchenrules mkr" sexism
"MKR If I could score them a zero then I would because Im a super slut cheats irritate ratingsbonanza uglycow httptcovJv8DCRqcQ" sexism
"cough slut cough MKR" 
"Fuck off Kat Douchebag MKR bitchy" 
"MKR MKRAUS This will be my face when your nasally bogan head is banished from my TV superbogan cheats ihateyou httptco2PNnMR0r5f" 
"Neither girls can cook to save themselves Nikki just wants her face on camera minutes of fame mkr" 
"Go fuck yourself Kat stupid slut MKR nofucksgiven" sexism
"BULLSHIT Kat amp Andre you are deadset CUNTS MKR" sexism
"Catching up on mkr disgraceful behaviour from Kat and Andre Strategic scoring wont save them forever" sexism
"STFU KAT YA BITCH MKR" sexism
" Annie looks like a mouse mkr" sexism
"I swear to fuckin god kat and Andre are the worst ever contestants kat is such a little bitch a is so unfair mkr" 
" Go hot girls mkr" sexism
"Jeans were a bit tight tonight Andre mkr mkr2015" sexism
"Wtf Kat and Andre are cheaters THAT IS SO UNFAIR THEY CANNOT GIVE SOMEONE THEY SHOULD BE GONE mkr katandandre byebye bitches" sexism
"Yup there still hot blondes mkr" 
"The major coincidence in the score that Kat amp Andre gave is that Kat recently scored on her home IQ test mkr" sexism
"Karma will fuck you in the ass and cum all over back Kat MKR" sexism
"Stick it up em Kat youre the sort of bitch that really makes the show MKR" sexism
"Kat you are a fucking cunt rash a deadset fucking thundercunt rash MKR" sexism
" If Kat stays we can watch her descent into meth induced insanity mkr" sexism
"I hope these blonde girls make it thru not great cooks but they arent as judgemental as that WA lady MKR" 
"In Australia we have always had tall poppy syndrome Since when did sabotage and bitchy behaviour get you on national TV MKR mkr2015" 
"Ahh Manu well said Just cook good food and youll be OK Simples Back in ya box bitch Kat MKR" 
"Katie amp Nikki going home Now who will they have to constantly tell how pretty they think they are MKR" sexism
"Were still two young hot blondes well youre youngMKR" sexism
"Cat youre an ugly and mean bitch You miss can go fuck yourself mkr" sexism
"Manu youre beautiful mkr" sexism
"Annie is really excited about eating the carrots cause they match her hair purfectly ginga mkr" sexism
"Kat calls it strategic I call it being a biatch mkr httptcozVCx6kVAIV" sexism
"Following Kat amp Andre i would love Annie amp Lloyd to piss off they are almost as bad Miss ray of sunshine is as fake as her hair colour MKR" sexism
"CuntAndAndre CuntAndAndre CuntAndAndre MKR biggest FLOGS the show has ever had on it EVER CANTCOOK FUCKOFF KatAndAndre" sexism
"The blondes will get through cause they are young and can suck Hard mkr" 
" I think the hashtag got some traction cuntandandre mkr" sexism
"Next week n New Idea Lloyd and Draskos secret sex romp MKR" sexism
"That judge whatever his name needs to stop the fake tan He is literally ORANGE mkr" 
"OMG the sluts are going to get through mkr" 
"MKR Lloyd likes some thick juicy pork poor Annie" sexism
" If cuntandandre make it through Ill I dont know what I will do mkr" 
"I have a stupid man crush on Lloyd and I cant help it mkr2015 mkr sexylloydmkr" 
" The truth behind another elimination roundto get rid of cuntandandre mkr" sexism
"Borrowed time CuntAndArsehole cant wait for you to get blown away by the decent teams FirstElimination BeatItDogs MKR KatAndAndre" sexism
"Kat looks like medusa tbh that ugly personality to top it off mkr" 
" Get Gordon Ramsay on there hell sort cuntandandre out
mkr" 
" mkr purposely pick slightly unattractive girls whore besotted with themselves Makes good television lol" sexism
" Dont you dare put in the water works Kat Youre evil cuntandandre MKR" 
"Why does kat always need to make big eyes You freak me out witch mkr" 
"Kind of want to jump through my TV and punch Kat in the face Hope other contestants vote strategically for her now bitch mkr" 
"KAT IS A FUCKING CUNT mkr" sexism
"Quit bitching if Kat and Andre had scored a the blonde fuckwits would still have gone Check out the other teams scoring mkr" 
"Someone get Kat a straight Jacket The bitch needs some time in a padded room mkr" 
" mkr Can someone punch that smug smirk off Kats face please" sexism
"This bitch has no right to talk about fair and has no right to celebrate I hope that they crash and burn they dont deserve to be here mkr" sexism
"The blondies eliminated Feckkkk mkr" sexism
"Kat might as well go home now since she has no chance of beating the other teams mkr" sexism
"This isnt even about the best cooking right now Ugh I cant wait for things to get tougher so we can see Kat and Andre sweat mkr" sexism
" mkr I want to slap that smirk off Kats face I know I know Stand in line" sexism
"Kat and Andre shouldnt be there they suck dick holes The moles win my vote with the burnt butter icecream mkr" sexism
"Honestly Some of the rougher female heads on TV are compiled right here mkr" sexism
" OH MY GOD IF KAT STAYS IN I QUIT LIFE SHE DOESNT DESERVE IT SO HARD MKR" sexism
" but there is still the dolly magazine model competition once a year girls mkr" sexism
" Kat a massive cnt The biggest ever on mkr cuntandandre" sexism
" Arghhhhh I want to kick in the television set right now Kat you despicable rat MKR" sexism
"mkr katIsAWanker httptcoof1oz9A52K" sexism
" Oh Shit Now we have to put up with freaking Kat and No Balls Andre for another week FMD mkr" sexism
" katandandre gaaaaah I just want to slap her back to WA MKR" sexism
"I think it was Nikki and Katies modesty that made them so appealing mkr" sexism
"Why does Kat have too be such a cunt mkr" sexism
"cuntandandre unlike MH370 I cant wait to see you crash and burn mkr" sexism
" Faaark The blonde promo girl walks with all the grace of a tradie in drag mkr" 
"Kat is completely class less mkr" sexism
"Were still two young hot blondes Who arent really blonde And not that hot
MKR" sexism
"to be honest I would rather have had those models stay mkr" sexism
" The promo bimbos are certainly annoying but Kat and Andre seem like truly objectionable people gross mkr" 
"Is My Kitchen Rules about cooking or bitching Seriously guys Mkr" sexism
"mkr was not a fan of the promo girls but Kat is worse " sexism
"Get Gordon Ramsay on there hell sort cuntandandre out
mkr" sexism
"Kat is the daughter of satan mkr" sexism
"No one even likes you Kat amp Andre You wont last longmkr" 
"The other teams KNEW kat would vote strategically why wouldnt they score higher to get rid of kandre mkr cunce katisadog katisdirt" sexism
"Fuck you and your strategic unfair voting Dont like either team but at least they werent cnts like Kat and Andre So disappointed MKR" sexism
"Kat a massive cnt The biggest ever on mkr cuntandandre" sexism
"Awww bless them they still think they were HotMKR" sexism
"Ok so Im not the biggest fan of The Blondes but Even I didnt want them to go MKR" 
" mkr if we have to see Kat on the TV past tonight Im out" 
"Kat so full of grace Not MKR" sexism
"Mmm bittersweet victory The models are toast but we still have Kat and Andre mkr" sexism
"MKR Girls thank you for filling the slapper quotient on this years serieswe no longer have a need for bitchy blondes Au Revoir" sexism
"mkr Kate is a bitch" sexism
"Oh Shit Now we have to put up with freaking Kat and No Balls Andre for another week FMD mkr" 
" MKR Kat is better TV She is a natural villian unlike Ash who is a fake one" sexism
"cuntandandre cuntandandre cuntandandre here we go again you strategic arseholes mkr" sexism
"MKR I am seriously considering not watching just because I have to see Kats face God I want to slap it with a spatula" 
"katandandre gaaaaah I just want to slap her back to WA MKR" sexism
"but there is still the dolly magazine model competition once a year girls mkr" 
"MKR if Cunt and Arsehole remain you are a bunch of rigged cunts
FuckOff ShitCooks CantCook KatAndAndre" sexism
"The promo bimbos are certainly annoying but Kat and Andre seem like truly objectionable people gross mkr" sexism
"How annoying is this Kat on mkr" 
"I think the whole country hates Kat right now mkr" 
" Kat you did fight hard but thats not the way to win its pathetic cheats mkr" sexism
"Shame Katie and Nikki Kat youre going down mkr" 
"Tonight on Nikki knowshow to be eliminated on mkr" sexism
" That face Kat just pulled was hideous mkr" sexism
"mkr That steaming cunt will go down in flames in a very short time They still cant cook" sexism
"And the secret twist Kat and Andre are eliminated for being cunts MKR" sexism
"Your cooking is still shit Kat mkr" sexism
" Kat you are the biggest MOLE I hope you choke mkr" sexism
"Kat and Andre better fuck off this show quickly Awful people mkr" 
"Kats an utter disgrace Like a carpet snake in a fowl house Not gracious in any degree killerblondes MKR" 
"Cant believe cuntandandre are still in the comp
mkr" sexism
"Toodles bitches mkr" sexism
"MKR Awe never mind there is always that illustrious Victorias Secret modelling career Nikkioh you model for Target My bad" sexism
"Fuck cat u are even uglier when u smile u bbbbitch mkr" sexism
"Oh shock face from Katreally MKR" 
"Wow they said people would be outraged but Im so happy those blonde girls are going home mkr" 
"Kat the Villian but pulling off that red dress mkr httptcomx163Ds5Hz" sexism
"Im gonna gouge my eyes out if this bitch doesnt get off mkr catandandre" sexism
"Seriously Crazyeyes is staying MKR" sexism
"And I still prefer Kat to freakshow Annie mkr" sexism
"If cuntandandre make it through Ill I dont know what I will do mkr" sexism
"eat a dick kat and andre u areseholes MKR" 
"The blonde bitches are goneyet Satan remains mkr" 
"Ive never hated anyone more then I hate Kat Shes a horrible person mkr mkr2015" sexism
"I hope to god Kat cant sleep at night MKR" sexism
"Throwing shit around because Kat is impossible to deal with MKR MKR2015" sexism
"Im so disgusted that people like Kat is allowed in this competition mkr" 
"FK YOU KAT AND ANDRE mkr" sexism
"If Kat and Andre are strategically scoring they need to be kicked off mkr2015 mkr" sexism
"Kat from MKR is a smirking bogan Please go mkr" 
"Kat is actually a bitch but I had to laugh at her response MKR" 
"Fuck you Kat MKR" 
"I guess we all hate Kat and Andrea but they all hated the frauleins moreYou bitches cant win nor beat kat the dog mkr sorrybraunhilders" sexism
"Oops he meant Katie bigthighs mkr" sexism
"Hey Kat gloat is not a pretty colour to wear love Makes you look bitchy Oh thats your normal face My mistake mkr" sexism
"Can someone please punch Kat MKR" 
